daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,date,distributed_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,people_vaccinated,people_vaccinated_per_hundred,share_doses_used,total_distributed,total_vaccinations,total_vaccinations_per_hundred
13361.0,1938.0,13361.0,2021-01-13,9.53,24789.0,0.36,192619.0,2.79,0.331,656850.0,217443.0,3.15
14697.0,2132.0,16033.0,2021-01-14,9.71,29837.0,0.435,204481.0,2.97,0.349,669225.0,233476.0,3.39
17698.0,2568.0,23699.0,2021-01-15,9.71,34885.0,0.51,222109.0,3.22,0.384,669325.0,257175.0,3.73
17130.0,2485.0,21281.8,2021-01-16,9.71,36427.0,0.5325,235984.75,3.4225000000000003,0.40700000000000003,669325.0,272600.5,3.955
16789.0,2436.0,18864.6,2021-01-17,9.71,37969.0,0.5549999999999999,249860.5,3.625,0.43,669325.0,288026.0,4.18
16562.0,2403.0,16447.4,2021-01-18,9.71,39511.0,0.5775,263736.25,3.8275,0.45299999999999996,669325.0,303451.5,4.405
16399.0,2379.0,14030.2,2021-01-19,9.71,41053.0,0.6,277612.0,4.03,0.476,669325.0,318877.0,4.63
16150.0,2343.0,11613.0,2021-01-20,10.7,42062.0,0.61,288209.0,4.18,0.448,737550.0,330490.0,4.79
17092.0,2480.0,22627.0,2021-01-21,11.26,46247.0,0.67,306646.0,4.45,0.455,776400.0,353117.0,5.12
16207.0,2351.0,17510.0,2021-01-22,12.4,51662.0,0.75,318630.0,4.62,0.434,854950.0,370627.0,5.38
17195.0,2495.0,22340.0,2021-01-23,12.47,57869.0,0.84,334514.0,4.85,0.457,859175.0,392967.0,5.7
18826.0,2731.0,26839.0,2021-01-24,12.47,63096.0,0.92,356102.0,5.17,0.489,859175.0,419806.0,6.09
18595.0,2698.0,13809.0,2021-01-25,12.47,64648.0,0.94,368358.0,5.34,0.505,859175.0,433615.0,6.29
17689.0,2566.0,9088.0,2021-01-26,12.71,65761.0,0.95,376313.0,5.46,0.505,875825.0,442703.0,6.42
19112.0,2773.0,21572.0,2021-01-27,13.88,73152.0,1.06,390470.0,5.67,0.485,956800.0,464275.0,6.74
19602.0,2844.0,26057.0,2021-01-28,14.78,83637.0,1.21,406024.0,5.89,0.481,1018975.0,490332.0,7.11
21411.0,3106.0,30172.0,2021-01-29,15.34,96373.0,1.4,422803.0,6.13,0.492,1057000.0,520504.0,7.55
22016.0,3194.0,26578.0,2021-01-30,15.39,106799.0,1.55,438852.0,6.37,0.516,1060900.0,547082.0,7.94
22768.0,3303.0,32099.0,2021-01-31,15.39,116315.0,1.69,461408.0,6.69,0.546,1060900.0,579181.0,8.4
25047.0,3634.0,29766.0,2021-02-01,15.39,122652.0,1.78,484829.0,7.03,0.574,1060900.0,608947.0,8.83
26111.0,3788.0,16530.0,2021-02-02,15.09,126560.0,1.84,497445.0,7.22,0.602,1039775.0,625477.0,9.07
23029.0,3341.0,0.0,2021-02-03,16.78,126560.0,1.84,497445.0,7.22,0.541,1156375.0,625477.0,9.07
23228.0,3370.0,27452.0,2021-02-04,17.83,134311.0,1.95,517135.0,7.5,0.531,1229075.0,652929.0,9.47
23510.0,3411.0,32145.0,2021-02-05,18.1,143690.0,2.08,539877.0,7.83,0.549,1247600.0,685074.0,9.94
25720.0,3732.0,42046.0,2021-02-06,18.1,153692.0,2.23,571853.0,8.3,0.583,1247600.0,727120.0,10.55
28727.0,4168.0,53148.0,2021-02-07,18.1,169148.0,2.45,609483.0,8.84,0.625,1247600.0,780268.0,11.32
28204.0,4092.0,26108.0,2021-02-08,18.1,174437.0,2.53,630154.0,9.14,0.646,1247600.0,806376.0,11.7
29538.0,4286.0,25866.0,2021-02-09,18.48,181280.0,2.63,649131.0,9.42,0.653,1273975.0,832242.0,12.07
36924.0,5357.0,51703.0,2021-02-10,20.22,194968.0,2.83,687093.0,9.97,0.634,1393725.0,883945.0,12.82
38812.0,5631.0,40667.0,2021-02-11,20.97,207392.0,3.01,715308.0,10.38,0.64,1445425.0,924612.0,13.41
39662.0,5754.0,38099.0,2021-02-12,21.75,218795.0,3.17,741746.0,10.76,0.642,1499450.0,962711.0,13.97
40349.0,5854.0,46849.0,2021-02-13,21.8,235910.0,3.42,771430.0,11.19,0.672,1502725.0,1009560.0,14.65
43617.0,6328.0,76024.0,2021-02-14,21.81,259760.0,3.77,823429.0,11.95,0.722,1502925.0,1085584.0,15.75
44264.0,6422.0,58528.66666666667,2021-02-15,21.91,270191.0,3.92,843617.5,12.239999999999998,0.739,1510150.0,1116222.0,16.195
44945.0,6521.0,41033.333333333336,2021-02-16,22.01,280622.0,4.07,863806.0,12.53,0.756,1517375.0,1146860.0,16.64
40922.0,5937.0,23538.0,2021-02-17,22.14,288309.0,4.18,879627.0,12.76,0.767,1526150.0,1170398.0,16.98
41458.0,6015.0,44423.0,2021-02-18,22.14,299871.0,4.35,912258.0,13.24,0.796,1526150.0,1214821.0,17.63
50527.0,7331.0,101581.0,2021-02-19,22.93,326108.0,4.73,987512.0,14.33,0.833,1580500.0,1316402.0,19.1
52268.0,7583.0,59037.0,2021-02-20,25.2,343624.0,4.99,1028490.0,14.92,0.792,1737170.0,1375439.0,19.96
48704.0,7066.0,51073.0,2021-02-21,25.2,367709.0,5.33,1054948.0,15.31,0.821,1737170.0,1426512.0,20.7
50396.0,7312.0,42480.0,2021-02-22,25.2,382100.0,5.54,1070869.0,15.54,0.846,1737170.0,1468992.0,21.31
50460.0,7321.0,31085.0,2021-02-23,25.35,392631.0,5.7,1090809.0,15.83,0.858,1747380.0,1500077.0,21.76
51877.0,7527.0,33457.0,2021-02-24,28.77,407380.0,5.91,1108977.0,16.09,0.773,1982950.0,1533534.0,22.25
51691.0,7500.0,43123.0,2021-02-25,29.38,424922.0,6.16,1133903.0,16.45,0.779,2025060.0,1576657.0,22.87
44151.0,6406.0,48802.0,2021-02-26,30.01,445006.0,6.46,1162144.0,16.86,0.786,2068660.0,1625459.0,23.58
44129.0,6402.0,58882.0,2021-02-27,30.35,471242.0,6.84,1194345.0,17.33,0.805,2091730.0,1684341.0,24.44
44201.0,6413.0,51575.0,2021-02-28,30.35,496356.0,7.2,1220455.0,17.71,0.83,2091730.0,1735916.0,25.19
47791.0,6934.0,67612.0,2021-03-01,30.35,523119.0,7.59,1260542.0,18.29,0.862,2091730.0,1803528.0,26.17
48248.0,7000.0,34288.0,2021-03-02,30.69,538986.0,7.82,1278555.0,18.55,0.869,2115560.0,1837816.0,26.66
50086.0,7267.0,46323.0,2021-03-03,33.31,557064.0,8.08,1306343.0,18.95,0.821,2296020.0,1884139.0,27.34
52052.0,7552.0,56879.0,2021-03-04,34.55,578386.0,8.39,1341520.0,19.46,0.815,2381160.0,1941018.0,28.16
54321.0,7881.0,64690.0,2021-03-05,35.92,605400.0,8.78,1379021.0,20.01,0.81,2476070.0,2005708.0,29.1
56816.0,8243.0,76344.0,2021-03-06,36.23,636626.0,9.24,1423801.0,20.66,0.834,2497130.0,2082052.0,30.21
